tweet_id,tweet_text_names,tweet_text_mentions
754873142120558592,". Nitin Gadkari Which state has the maximum length of national highways? Raghav Chandra Anisha Dutta PMO India NITI Aayog.",". @nitin_gadkari Which state has the maximum length of national highways? @raghavchandra @A2D2_ @PMOIndia @NITIAayog."
754874086535208960,"infrastructure development shapes realestate and hlps marketing. MORTHINDIA Nitin Gadkari. Case Study. RM Reports.","infrastructure development shapes realestate and hlps marketing. @MORTHIndia @nitin_gadkari. Case Study. RM Reports."
754886262247477249,"Nitin Gadkari PL fund RandD in technologies dat will someday replace cars running on non-renewable sources w tax on petrol and vehicles.","@nitin_gadkari PL fund RandD in technologies dat will someday replace cars running on non-renewable sources w tax on petrol and vehicles."
754887019734630404,"National Highways Nitin Gadkari pathetic condition of 4lane 2yr old BhandaraNagpur highway big potholes inviting accidents. huge inconvenience.","@NHAIINDIA @nitin_gadkari pathetic condition of 4lane 2yr old BhandaraNagpur highway big potholes inviting accidents. huge inconvenience."
754888020898222082,"Nitin Gadkari Sir, every single day jaam is happening in NH8. to tough to reach gurgaon.","@nitin_gadkari Sir, every single day jaam is happening in NH8. to tough to reach gurgaon."
754904442273722368,"Nitin Gadkari Pls see this half completed fly over for last 3 years. no progress at IMT MANESAR NH 8.","@nitin_gadkari Pls see this half completed fly over for last 3 years. no progress at IMT MANESAR NH 8."
754905839836823552,"Shri Nitin Gadkari Invites Indian Origin Silicon Valley Professionals to Participate in India’s Start-up Movement:.","Shri @nitin_gadkari Invites Indian Origin Silicon Valley Professionals to Participate in India’s Start-up Movement:."
754908115422720000,"Nitin Gadkari urges NRI Silicon Valley professionals to join Startup India movement.","@nitin_gadkari urges NRI Silicon Valley professionals to join Startup India movement."
754911154980417536,"Mumbai contrast. Is this really the same city. Nitin Gadkari.","Mumbai contrast. Is this really the same city. @nitin_gadkari."
754912944706551808,"Nitin Gadkari Sir kya iss session me Road transport bill aayega.","@nitin_gadkari Sir kya iss session me Road transport bill aayega."
754919042746617856,"Its 11:30 AM, no one at service window no 131@rtoahmedabad. plnty of ppl waiting frm past hour. Anandiben Patel Vijay Rupani Nitin Gadkari.","Its 11:30 AM, no one at service window no 131@rtoahmedabad. plnty of ppl waiting frm past hour. @anandibenpatel @vijayrupanibjp @nitin_gadkari."
754924650463830016,"Nitin Gadkari asks NRI Silicon Valley professionals to join startups India movement.","@nitin_gadkari asks NRI Silicon Valley professionals to join startups India movement."
754937646095462400,"MoEF&CC MORTHINDIA Sir is there a scientific basis for banning vehicles? or NGT is trying to show who the boss is?","@moefcc @MORTHIndia Sir is there a scientific basis for banning vehicles? or NGT is trying to show who the boss is?"
754941195638476800,"Nitin Gadkari 4 months unpaid salary for 10 thousand Indian workers in kuwait. Pkz help.","@nitin_gadkari 4 months unpaid salary for 10 thousand Indian workers in kuwait. Pkz help."
754946866316451841,"Nitin Gadkari even police vans do not follow traffic rules !","@nitin_gadkari even police vans do not follow traffic rules !"
754954178645155840,"Nitin Gadkari India need multi modal transport corridors in Eastern part of India PMO India @RailMinIndia@dpradhanbjp.","@nitin_gadkari India need multi modal transport corridors in Eastern part of India @PMOIndia @RailMinIndia@dpradhanbjp."
754955887173898241,"My request to Nitin Gadkari Ji that please accept digital copy of insurance and other documents.","My request to @nitin_gadkari Ji that please accept digital copy of insurance and other documents."
754964044096741376,"Illegal vehicle registration scam in RTO offices. Please look into it Nitin Gadkari PMO India Narendra Modi.","Illegal vehicle registration scam in RTO offices. Please look into it @nitin_gadkari @PMOIndia @narendramodi."
754964639444635648,"Min Nitin Gadkari seeks Indian-American participation in startup movement. entrepreneurs. innovation. technology.","Min @nitin_gadkari seeks Indian-American participation in startup movement. entrepreneurs. innovation. technology."
754967089295790080,"Nitin Gadkari Ministry of Church of transport.","@nitin_gadkari @ministry of transport."
754975498300628992,"Nitin Gadkari Devendra Fadnavis when E rickshaw and E cart sale in maharashtra. Will be authorized ?","@nitin_gadkari @Dev_Fadnavis when E rickshaw and E cart sale in maharashtra. Will be authorized ?"
754977033885659136,"Nitin Gadkari sir, who will compensate loss of 5 years of diesel vehicles life due to ban.","@nitin_gadkari sir, who will compensate loss of 5 years of diesel vehicles life due to ban."
754982612305870848,"Nitin Gadkari seeks Indian- American participation in startup movement.","Nitin Gadkari seeks Indian- American participation in startup movement."
754989132951224320,"Narendra Modi Nitin Gadkari Suresh  Prabhu Amit Shah Anandiben Patel Very horrible situration of this Town.","@narendramodi @nitin_gadkari @sureshpprabhu @AmitShah @anandibenpatel Very horrible situration of this Town."
754989855340388352,"Govt to increase shipping share in cargo mix to 10% by 2020 Nitin Gadkari Ministry of Shipping Nirmala Sitharaman. logistics.","Govt to increase shipping share in cargo mix to 10% by 2020 @nitin_gadkari @shipmin_india @nsitharaman. logistics."
