tweet_id,tweet_text
754873142120558592,"@nitin_gadkari. Which state has the maximum length of national highways @raghavchandra? @A2D2_ @PMOIndia @NITIAayog"
754874086535208960,"Infrastructure development shapes realestate and helps marketing. @MORTHIndia @nitin_gadkari. Case Study. RM Reports."
754886262247477249,"@nitin_gadkari Please fund RandD in technologies that will someday replace cars running on non-renewable sources w tax on petrol and vehicles."
754887019734630404,"@NHAIINDIA @nitin_gadkari pathetic condition of 4lane 2yr old BhandaraNagpur highway big potholes inviting accidents. Huge inconvenience."
754888020898222082,"@nitin_gadkari Sir every single day jaam is happening in NH8. To tough to reach gurgaon."
754904442273722368,"@nitin_gadkari Pls see this half completed fly over for last 3 years. No progress at IMT MANESAR NH 8."
754905839836823552,"Shri @nitin_gadkari Invites Indian Origin Silicon Valley Professionals to Participate in India’s Start-up Movement:."
754908115422720000,"@nitin_gadkari urges NRI Silicon Valley professionals to join Startup India movement."
754911154980417536,"Mumbai contrast. Is this really the same city. @nitin_gadkari."
754912944706551808,"@nitin_gadkari Sir kya iss session me Road transport bill aayega."
754919042746617856,"Its 11:30 AM no one at service window no 131@rtoahmedabad. Plenty of people waiting frm past hour. @anandibenpatel @vijayrupanibjp @nitin_gadkari."
754924650463830016,"@nitin_gadkari asks NRI Silicon Valley professionals to join startups India movement."
754937646095462400,"@moefcc @MORTHIndia Sir is there a scientific basis for banning vehicles? Or NGT is trying to show who the boss is?"
754941195638476800,"@nitin_gadkari 4 months unpaid salary for 10 thousand Indian workers in kuwait. Pkz help."
754946866316451841,"@nitin_gadkari even police vans do not follow traffic rules"
754954178645155840,"@nitin_gadkari India need multi modal transport corridors in Eastern part of India @PMOIndia @RailMinIndia@dpradhanbjp."
754955887173898241,"My request to @nitin_gadkari Ji that please accept digital copy of insurance and other documents."
754964044096741376,"Illegal vehicle registration scam in RTO offices. Please look into it @nitin_gadkari @PMOIndia @narendramodi."
754964639444635648,"Min @nitin_gadkari seeks Indian-American participation in startup movement. Entrepreneurs. Innovation. Technology."
754967089295790080,"@nitin_gadkari @ministry of transport."
754975498300628992,"@nitin_gadkari @Dev_Fadnavis when E rickshaw and E cart sale in maharashtra. Will be authorized"
754977033885659136,"@nitin_gadkari sir who will compensate loss of 5 years of diesel vehicles life due to ban."
754982612305870848,"Nitin Gadkari seeks Indian- American participation in startup movement."
754989132951224320,"@narendramodi @nitin_gadkari @sureshpprabhu @AmitShah @anandibenpatel very horrible situation of this Town."
754989855340388352,"Govt to increase shipping share in cargo mix to 10% by 2020 @nitin_gadkari @shipmin_india @nsitharaman. Logistics."
754991694983139329,"@mygovindia @PMOIndia @nitin_gadkari "PAN CARD" MUST BE DONE AT THE TIME OF PURCHASE and INSURANCE ALL VEHICLE EXCEPT TWO WHEELER FOR SAFETY."
754994437437034496,"Union Minister seeks Indo-American part. In startup mvmt @nitin_gadkari startup india @nsitharaman @rabhishek1982."
754997512704929792,"@nitin_gadkari Sir the nh-47 stretch kayamkulam-cherthala is very bad. Not able to drive properly."
754997634801152000,"@nitin_gadkari. Urges Indian-American professionals to participate in start-ups"
755000598139994112,"Sir the condition of nh34 only and 4lane way to north east i. E from umarpur to malda in west Bengal. @nitin_gadkari."
755002456963059712,"@nitin_gadkari sir work on National highway 58 is going on since 2009. Please update the opening of haridwar Roorkee bypass. We are fed up."
755004586130366464,"@nitin_gadkari seeks Indian-American participation in start-up movement. Indian Abroad."
755009235478470657,"@nitin_gadkari travelling has become very difficult due to road conditions with big size pot holes everywhere. Kindly do something."
755009840825573376,"Good thoughts to encourage public transport for lesser crowded roads @nitin_gadkari @sarbanandsonwal."
755013838412648448,"Shri @nitin_gadkari takes road trip from SanFrancisco to Los Angeles to gain first-hand experience in road safety :."
755019365238603776,"Scrap 498 A to Allow India Grow. Men Stuck in Fake 498 A causing loss of Time for Nation building @nitin_gadkari."
