tweet_id,tweet_text
754873142120558592,"Nitin Gadkari. Which state has the maximum length of national highways Raghav Chandra? Anisha Dutta PMO India NITI Aayog"
754874086535208960,"Infrastructure development shapes realestate and helps marketing. MORTHINDIA Nitin Gadkari. Case Study. RM Reports."
754886262247477249,"Nitin Gadkari Please fund RandD in technologies that will someday replace cars running on non-renewable sources w tax on petrol and vehicles."
754887019734630404,"National Highways Nitin Gadkari pathetic condition of 4lane 2yr old BhandaraNagpur highway big potholes inviting accidents. Huge inconvenience."
754888020898222082,"Nitin Gadkari Sir every single day jaam is happening in NH8. To tough to reach gurgaon."
754904442273722368,"Nitin Gadkari Please see this half completed fly over for last 3 years. No progress at IMT MANESAR NH 8."
754905839836823552,"Shri Nitin Gadkari Invites Indian Origin Silicon Valley Professionals to Participate in India’s Start-up Movement:."
754908115422720000,"Nitin Gadkari urges NRI Silicon Valley professionals to join Startup India movement."
754911154980417536,"Mumbai contrast. Is this really the same city. Nitin Gadkari."
754912944706551808,"Nitin Gadkari Sir kya im so sorry session me Road transport bill aayega."
754919042746617856,"Its 11:30 AM no one at service window no 131@rtoahmedabad. Plenty of people waiting from past hour. Anandiben Patel Vijay Rupani Nitin Gadkari."
754924650463830016,"Nitin Gadkari asks NRI Silicon Valley professionals to join startups India movement."
754937646095462400,"MoEF&CC MORTHINDIA Sir is there a scientific basis for banning vehicles? Or NGT is trying to show who the boss is?"
754941195638476800,"Nitin Gadkari 4 months unpaid salary for 10 thousand Indian workers in kuwait. Pkz help."
754946866316451841,"Nitin Gadkari even police vans do not follow traffic rules"
754954178645155840,"Nitin Gadkari India need multi modal transport corridors in Eastern part of India PMO India @RailMinIndia@dpradhanbjp."
754955887173898241,"My request to Nitin Gadkari Ji that please accept digital copy of insurance and other documents."
754964044096741376,"Illegal vehicle registration scam in RTO offices. Please look into it Nitin Gadkari PMO India Narendra Modi."
754964639444635648,"Minute Nitin Gadkari seeks Indian-American participation in startup movement. Entrepreneurs. Innovation. Technology."
754967089295790080,"Nitin Gadkari Ministry of Church of transport."
754975498300628992,"Nitin Gadkari Devendra Fadnavis when E rickshaw and E cart sale in maharashtra. Will be authorized"
754977033885659136,"Nitin Gadkari sir who will compensate loss of 5 years of diesel vehicles life due to ban."
754982612305870848,"Nitin Gadkari seeks Indian- American participation in startup movement."
754989132951224320,"Narendra Modi Nitin Gadkari Suresh  Prabhu Amit Shah Anandiben Patel very horrible situation of this Town."
754989855340388352,"Govt to increase shipping share in cargo mix to 10% by 2020 Nitin Gadkari Ministry of Shipping Nirmala Sitharaman. Logistics."
754991694983139329,"MyGovIndia PMO India Nitin Gadkari "PAN CARD" MUST BE DONE AT THE TIME OF PURCHASE and INSURANCE ALL VEHICLE EXCEPT TWO WHEELER FOR SAFETY."
754994437437034496,"Union Minister seeks Indo-American part. In startup mvmt Nitin Gadkari startup india Nirmala Sitharaman Ramesh Abhishek."
754997512704929792,"Nitin Gadkari Sir the nh-47 stretch kayamkulam-cherthala is very bad. Not able to drive properly."
754997634801152000,"Nitin Gadkari. Urges Indian-American professionals to participate in start-ups"
755000598139994112,"Sir the condition of nh34 only and 4lane way to north east I. E from umarpur to malda in west Bengal. Nitin Gadkari."
755002456963059712,"Nitin Gadkari sir work on National highway 58 is going on since 2009. Please update the opening of haridwar Roorkee bypass. We are fed up."
755004586130366464,"Nitin Gadkari seeks Indian-American participation in start-up movement. Indian Abroad."
755009235478470657,"Nitin Gadkari travelling has become very difficult due to road conditions with big size pot holes everywhere. Kindly do something."
755009840825573376,"Good thoughts to encourage public transport for lesser crowded roads Nitin Gadkari Sarbananda Sonowal."
755013838412648448,"Shri Nitin Gadkari takes road trip from SanFrancisco to Los Angeles to gain first-hand experience in road safety :."
755019365238603776,"Scrap 498 A to Allow India Grow. Men Stuck in Fake 498 A causing loss of Time for Nation building Nitin Gadkari."
755020780438691840,"Nitin Gadkari Narendra Modi आज तक NDTV poster repaired in 24hrs on NH8 while traffic jam everyday due to bad road conditions."
755031936649748480,"Govt offers land to the world's biggest electric car merge from current company Tesla to Make In India. Nitin Gadkari."
755034296658763778,"Jagat Prakash Nadda sir can we have a Application whc help to identify ferz doctor. So easy to identify them by Name photo etc. Nitin Gadkari Narendra Modi."
755036904035348480,"Nitin Gadkari Dear Sir 4 laning of Morbi-Rajkot Highwy is overdue since 2010 but not done Because of Corruption."
755044975293898757,"Nitin Gadkari. Please look NH 2. Delhi agra highway. Especially in faridabad."
755046040294817792,"Nitin Gadkari NH-8 conditions worst between bilaspur to dharuhera. Kindly depute some teams advertising of building roads maintenance"
755053724553375746,"Nitin Gadkari Aurangabad to Shirdi road is it bad condition. It is single road no light. Difficult to drive at night."
755054797896687617,"Nitin Gadkari PMO India Delhi Jaipur HW is very slow few fly overs still incomplete many pot holes on both sides why collect tolls."
755059737599832064,"MORTHINDIA Nitin Gadkari Ola Nitinji Ola cabs charges 3x amt* Chennai/ Mumbai. Please intervene in taxi fares. They are cheating us."
755063614524887045,"Nitin Gadkari sir please go on NH 8 once then I can guarantee you have to rethink on your ministry slogan Highway Vikas ki Nayi Raftaar."
755070027884298240,"Nitin Gadkari Dear Sir Please see to grievance MORTH/E/2016/02467 Thanks and Regards Gyanendra Gupta Contact No. 9415131163 9792201876."
755070165201453057,"Nitin Gadkari takes a road trip from San Francisco to Los Angeles. Experiences latest technologies in highway sector. I am jealous!"
755073349835980800,"PMO India Nitin Gadkari Tejashwi Yadav Nitish Kumar This is how grievances are addressed."
755076351435108357,"PMO India I have query related to India Vehicle act but don't know who will answer it. Asked several time to Nitin Gadkari bit torrent no reply! ?."
755077260395159553,"Expansion plan info of Vizag Port reported by Pon Radhakrishnan MORTHINDIA Nitin Gadkari."
755079572358565889,"Narendra Modi Ji I have asked Nitin Gadkari many a Times but no improvement. Please look into this @faridabad NH2."
755108329974661120,"NDA to expand coastal shipping’s share in cargo transport to 10% by 2020 Ministry of Shipping Nitin Gadkari."
755121134941642752,"Nitin Gadkari school children's life on risk threatened by deadly road sumanta kumar swain village makhanpur GP khaira block."
755122931424956416,"What can make india healthy and green? With a fraction of costs. Narendra Modi Nitin Gadkari."
755127899489837056,"Nitin Gadkari Constable asked 4500₹ to give my license back. Is it crime to drive bike in other state for some days? As I am a rider. (2/n)."
755128331352158209,"Nitin Gadkari I felt humiliated gave him 500₹ anyway to get my license back. I earn with honesty and pay taxes why police bhv like that."
755130457021308928,"Condition of NH. The life line of Tripura. Nitin Gadkari Sarbananda Sonowal Himanta Biswa Sarma PMO India Narendra Modi."
755227136651325440,"Welcome NR Is funding investments but we've to analyse what are we offering to them Make in India Nitin Gadkari."
755228290059821056,"Narendra Modi Nitin Gadkari PMO India poor roads in Rajasthan complained on meri sadak application. No Reply till date. PAThETIC."
755243945513320448,"Nitin Gadkari nice ride from SFO to LA please take a ride from Indore to ahmedabad on nh59 you will feel the pain."
755246220784857088,"Manohar Lal MORTHINDIA The old Delhi-Gurgaon road is in a huge mess especially in front of Unitech Infospace office. Please get it fixed."
755246507972886528,"Nitin Gadkari All About Belgaum Sir looking at the Quality of the Roads we see there are no quality standards at all. (1)."
755250587533443072,"Nitin Gadkari I daily updown com Nimkathana to HCL its only 35 KM but it's take 2 hour bcz road is not exit SH 13."
755258323973406722,"Nitin Gadkari corruption in mumbai traffic police is rampant. Please do something sir."
755261391695704065,"Nitin Gadkari a Twitter handle where we can report any breakdown or issues relating to roads. ?. Idea."
755263897578471425,"BJP Narendra Modi Nitin Gadkari Sir sharing some pictures of NH4. Adding to your task."
755265035589545984,"Nitin Gadkari ji can you please reply CMO Maharashtra Devendra Fadnavis."
755283540674215936,"Union Minister @Nitin_gadkari urges NRI Silicon Valley professionals to join Startup India movement: The Indian Express."
755286031969030144,"Shri Nitin Gadkari also witnessed widening of hard shoulders installation of drainage and realignment of local roads on his route."
755288959853342720,"Nitin Gadkari even with lakhs of crores every year we spent -we are not able to get good qualty roads. Life of all road is one rainy season."
755290713714139137,"Remembering the great soul and vibrant Party leader our beloved TNBJP's shri. Auditor Ramesh ji's balidan diwas Nitin Gadkari Amit Shah."
755303716530614272,"Nitin Gadkari First make the infrastructure for electric/hybrid vehicles. Knee jerk decisions by NGT are doing more harm than benefits."
755303808218066944,"Nitin Gadkari Indian Roads need this kind of water removing system."
755305776365838336,"Nitin Gadkari Sir we needs Auto Rickshaw Permit not Wi-Fi at Railway Stations or give us permission 2 run private rickshaw Devendra Fadnavis."
755306739646410752,"Nitin Gadkari Do You know more than 12 000 trains running daily and you can track each and everyone in seconds."
755314315960455168,"Safe and Clean Highway Toilets for Women Nitin Gadkari - Sign the Petition! Via Change.org India."
755323233004421121,"Nitin Gadkari. Took a road trip from San Francisco to LA to experience latest techniques in highway engineering: MORTHINDIA Gadkari. In US"
755327357070798848,"Nitin Gadkari Ravi Shankar Prasad @sudhir chaudhary -DNA SUHEL SETH the should be a compensation."
755343850139295745,"Nitin Gadkari Please look at the condition of Alappuzha Highway. Pathetic in Kerala."
755346346551480320,"Narendra Modi Nitin Gadkari before smart city make first smart road Assam and Tripura 44 NH specially for Tripura people. Please look."
755350346420158464,"Nitin Gadkari sir condition of NH-34 is pathetic. Lot of potholes. The most imp NH connecting KP wine india Narendra Modi. PMO India"
755369712700297216,"Narendra Modi PMO India Nitin Gadkari need help in getting the road of our society made. During rains it becomes a home of diseases. Help."
755377481360650240,"Devendra Fadnavis CMO Maharashtra Nitin Gadkari what about ring Road Metro and International Airport of Pune these issues are pending long time."
755381825388806144,"KAPIL Narendra Modi Nitin Gadkari Barack Obama Amitabh Bachchan India need education and Startup not full marks and job in USA."
755381828123373568,"Why can't ropeways be an alternative 2 public transport in metros? ANPCPMC A.N.PRAKASH Nitin Gadkari."
755384847795757056,"Thanks to Nitin Gadkari for his very productive trip to US – looking forward to increased collaboration/investment in transportation sector."
755392422385856512,"Narendra Modi Nitin Gadkari please. Don't push old delhi diesel vehicles to rest of india; why should Return On Investment suffer and delhi enjoy"
755396140250562561,"Nitin Gadkari sir Instant Message central government employee. I travel from bhamora to bareilly(uttar pradesh)daily. Nowadays it is blocked due to saavn."
755397294699282432,"Nitin Gadkari sir. At Pardi in Gujarat over bridge works going on but there is no traffic police working over here. Terrific condition."
755399974129655809,"Nitin Gadkari I am Gaurav Gupta from Ghaziabad UP. I have a project to reduce the Road accidents. Please allow me to show you this project."
755408901659426818,"Nitin Gadkari It is main road connecting from Pinagwan to Distt Palwal. This is pathetic since last more than 5 years."
755423983626022912,"Nitin Gadkari hi sir banayenge hamare raste bis sal se raste nahi bane street light drainage line road not available in our society."
755424354389757952,"MORTHINDIA Narendra Modi Please look into grievance MORTH/E/2016/02467 on pgportal website Gyanendra Gupta Contact No. 9415131163."
755425209113608192,"Suresh  Prabhu clean pnr qyn best service so far in IR Narendra Modi Nitin Gadkari Lalu Prasad Yadav Nitish Kumar."
755431418969202688,"US to partner in India’s Sagarmala programme PMO India Nitin Gadkari @north india M Venkaiah Naidu."
